title,brand,series,is_refurbished,current_price,old_price,discount_percent,shipping_cost,is_free_shipping,rating,rating_num,operating_system,screen_size_inches,resolution,resolution_category,is_touchscreen,ram_capacity_gb,ram_type,storage_capacity_gb,storage_type,cpu_brand,cpu_series,cpu_model,cpu_cores,gpu_brand,gpu_type,gpu_model,is_ai_pc,has_backlit_keyboard,link
"HP OmniBook 5 Laptop Computer 14"" 2K Snapdragon X 16 GB memory;512 GB SSD",HP,OmniBook,0,1149.99,1149.99,0.0,0.0,1,,0,Windows 11 Home,14.0,1920x1080,FHD (1080p),0,16,DDR4,512,SSD,Snapdragon,Other,Other,,Integrated / Other,Integrated,Integrated Graphics,0,0,https://www.newegg.com/hp-14-0-qualcomm-snapdragon-x-x1-26-100-qualcomm-adreno-16gb-memory-512-gb-pcie-ssd/p/2NR-000A-01PK8
"NIAKUN 2026 15.6"" FHD Gaming Laptop: AMD Ryzen 7 6800H 45W TDP, 32GB RAM, 1TB NVMe SSD, Win 11 Pro, Keyboard, 6 Ports, Lightweight 3.5lb for Gaming, Students, Programming, Video Editing",SAGAWHALE,Other,0,799.99,899.99,11.0,0.0,1,,0,Windows 11 Pro,15.6,1920x1080,FHD (1080p),0,32,DDR4,1024,NVMe PCIe SSD,AMD,Ryzen 7,Ryzen 7 6800H,,AMD,Integrated,Integrated Graphics,0,1,https://www.newegg.com/niakun-15-6-inches-amd-ryzen-7-6800h-lcd-32gb-memory-1tb-ssd/p/2WC-007P-00009
"Refurbished Dell Precision 7510 15.6"" FHD i7-6820HQ 2.7GHz Quad Core 16GB 512gb SSD AMD RADEON R9 375 2GB Graphics Card Webcam 15.6"" FHD Screen 1920x1080 - Win10 Pro - Gaming Workstation!",Dell,Precision,1,471.83,471.83,0.0,0.0,1,,0,Windows 10 Pro,15.6,1920x1080,FHD (1080p),1,16,DDR4,512,SSD,AMD,Core I7,i7-6820HQ,,AMD,Integrated,Integrated Graphics,0,1,https://www.newegg.com/dell-15-6-non-touch-screen-2-70ghz-amd-radeon-r9-m395-256-ssd-black/p/1TS-000A-12BY3
"Refurbished Dell Latitude 5285 Core 12.3"" TOUCH i5-7300U 2.6GHz 8GB 256 SSD 2 in 1 Laptop B",Dell,Latitude,1,119.0,129.0,7.0,0.0,1,,0,Windows 10 Pro,12.0,1920x1280,FHD (1080p),1,8,DDR4,256,SSD,Intel,Core I5,i5-7300U,5285.0,Integrated / Other,Integrated,Integrated Graphics,0,0,https://www.newegg.com/dell-latitude-12-0-touch-screen-8gb-memory-256-gb-ssd-black/p/1TS-000A-0MXF2
Refurbished Dell Latitude 7430 - 14 Inch FHD (1920x1080) Non-Touchscreen Laptop | Intel Core i5-1245U | 16 GB RAM - 512 GB SSD | Intel Iris Integrated Graphics | Backlit Keyboard | Windows 11 Pro,Dell,Latitude,1,349.99,349.99,0.0,0.0,1,,0,Windows 11 Pro,14.0,1920x1080,FHD (1080p),1,16,DDR4,512,SSD,Intel,Core I5,i5-1245U,,Intel,Integrated,Integrated Graphics,0,1,https://www.newegg.com/dell-latitude-14-0-fhd-non-touch-screen-intel-core-i5-1245u-integrated-graphics-160gb-ddr4-memory-512gb-ssd/p/1TS-000A-15G98
"Dell 15.6"" Full HD TouchScreen Laptop| Intel Core i5-1334U|16GB DDR4|512GB SSD| Intel Graphics| Wifi-6|Windows 11 Pro",Dell,Other,0,729.79,729.79,0.0,0.0,1,,0,Windows 11 Pro,15.6,1366x768,HD,1,16,DDR4,512,SSD,Intel,Core I5,i5-1334U,,Intel,Integrated,Integrated Graphics,0,0,https://www.newegg.com/dell-15-6-touchscreen-anti-glare-led-backlight-wva-fhd-1920-x-1080-display-yes-intel-uhd-graphics-16gb-memory-512-gb-ssd-black/p/1TS-000A-154Z3
"Exsurf 15.6"" Business Laptop, AMD Ryzen 3250C, 16GB DDR4 RAM 1TB NVMe SSD, Windows 11 Pro Laptop Computer, Backlight Keyboard, Fingerprint Reader, Silver",Auusda,Other,0,439.99,649.99,32.0,0.0,1,,0,Windows 11 Pro,15.6,1920x1080,FHD (1080p),1,16,DDR4,1024,NVMe PCIe SSD,AMD,Ryzen 3,Ryzen 3 3250C,,AMD,Integrated,Radeon RX Vega 3,0,1,https://www.newegg.com/exsurf-15-6-non-touch-screen-amd-ryzen-3-3250c-amd-radeon-rx-vega-3-16gb-memory-1tb-nvme-ssd-silver/p/1TS-00TY-00011
"Lenovo IdeaPad Slim 3 15.3"" FHD+ Touchscreen Laptop, Latest Gen AMD Ryzen 7 170(>Ryzen 7 7730U), Radeon 680M Graphics, 48GB DDR5, 1TB SSD, Wi-Fi 6, Numeric Keypad, Windows 11Pro, Grey, w/PCO Cooler",Lenovo,IdeaPad,0,1179.0,1179.0,0.0,0.0,1,,0,Windows 11 Pro,15.3,1920x1200,FHD+ (1200p),1,48,DDR5,1024,NVMe PCIe SSD,AMD,Ryzen 7,Ryzen 7 7730U,,AMD,Integrated,Radeon Graphics,0,0,https://www.newegg.com/lenovo-ideapad-15-3-fhd-touch-screen-amd-ryzen-7-170-amd-radeon-graphics-48gb-ddr5-memory-1tb-pcie-ssd-gray/p/1TS-000E-1E950
"Newest 13th Generation Dell Inspiron 15 3530 Laptop, 15.6"" FHD Touchscreen, Intel Core i7-1355U, 16GB RAM, 1TB SSD, Webcam, HDMI, Wi-Fi 6, Windows 11 Home, Black",Dell,Inspiron,0,869.0,869.0,0.0,0.0,1,,0,Windows 11 Home,15.6,1920x1080,FHD (1080p),1,16,DDR4,1024,SSD,Intel,Core I7,i7-1355U,10.0,Intel,Integrated,Iris Xe,0,0,https://www.newegg.com/dell-inspiron-15-6-touch-screen-intel-core-i7-1355u-intel-iris-xe-graphics-16gb-memory-1-tb-ssd-black/p/1TS-000A-0Z9R4
"Dell Latitude 5510 Notebook, 15.6"" FHD Display, Intel Core i5-10210U Upto 4.2GHz, 16GB RAM, 500GB PCIe-NVMe, HDMI, DisplayPort via USB-C, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro",Dell,Latitude,0,1299.99,1299.99,0.0,0.0,1,,0,Windows 10 Pro,15.6,1920x1080,FHD (1080p),1,16,DDR4,500,NVMe PCIe SSD,Intel,Core I5,i5-10210U,,Intel,Integrated,UHD Graphics,0,0,https://www.newegg.com/dell-latitude-15-6-fhd-non-touch-screen-1-60ghz-intel-uhd-graphics-16gb-memory-500-gb-ssd-dark-gray/p/1TS-000A-0MU06
